title,upload_date,duration,view_count,like_count,comment_count,url,video_id,channel,description,tags,categories,like_ratio
pymox presentation 001,2025-08-22,343,22,,,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006811/ei/-xaPaYiFOIqPi9oP_LHxkQc/ip/93.23.16.131/id/8a89ac469e6528b6/itag/95/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D5559871%3Bdur%3D343.492%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1755872146176130/sgovp/clen%3D10343976%3Bdur%3D343.438%3Bgir%3Dyes%3Bitag%3D136%3Blmt%3D1755872151615367/rqh/1/hls_chunk_host/rr3---sn-n4g-ator.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/446/met/1770985211,/mh/zu/mm/31,29/mn/sn-n4g-ator,sn-n4g-jqbe6/ms/au,rdu/mv/m/mvi/3/pcm2cms/yes/pl/27/rms/au,au/force_finished/1/initcwndbps/748750/bui/AW-iu_pmslyBeYJvn2iQOtecIow0R17oVRLfPaUBM89dRXsK2lLWGw3P_bi1U1GcaUNy1GsorVguB569/spc/q5xjPFNr_B8_JhlkbqOrCIoMv1BiTu1rVzft_OvNSN3sXFjDgFpjV72e7qlqWOwBe2c6qDJm/vprv/1/ns/saeZr4WWBzcdJIcio8RpeYQS/playlist_type/CLEAN/dover/11/txp/6209224/mt/1770984808/fvip/8/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/NZSpuFGUea_Dv1OAh/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,force_finished,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRQIhAKR1qkAKnffQDmHOcsy6cPbfKPtWezJHoMyTUDixbGYlAiBq23kjH86C_gohZwZhF6IlveJ77ZUSEb0RvSBODUrQKA%3D%3D/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pcm2cms,pl,rms,initcwndbps/lsig/APaTxxMwRgIhAMJ1B97E8MI9sRyh46Durb5AshucSj9-EpYCPm5xkaB5AiEA3PiVygc55wP6yj1ySQU3loOZIIGgXysPbGsLq0rgoMs%3D/playlist/index.m3u8",iomsRp5lKLY,Lionel COTE,"Juèste pour expliquer que ce PyMoX.fr est VOTRE site, que vous soyez archi débutant, ou archi expert ! No limit !

Be happy, quoi qu'il arrive !",[],['Science & Technology'],0.0
PYTHON - FLET - ALGOREA - HOTRELOAD,2025-07-06,339,36,,,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006854/ei/JhePaeaSJfqFxs0P9sPxgAY/ip/93.23.16.131/id/f7415c128be30d2c/itag/96/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D5483900%3Bdur%3D338.802%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1751793973430161/sgovp/clen%3D8434282%3Bdur%3D338.734%3Bgir%3Dyes%3Bitag%3D137%3Blmt%3D1751793978283159/rqh/1/hls_chunk_host/rr2---sn-n4g-ator.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/351/met/1770985254,/mh/T7/mm/31,29/mn/sn-n4g-ator,sn-n4g-jqbed/ms/au,rdu/mv/m/mvi/2/pl/27/rms/au,au/force_finished/1/initcwndbps/933750/bui/AW-iu_owacguWloWVcb9tmenZPNZnFn20ecWZiw1C5gvz0OIuz1D1HXwJ3PaFvpy0hoHEsKHp5vZagJm/spc/q5xjPDkM7E4h31DEOMIdr92Y0sbuB4hA0wiIC-eZ37X3YSXugsGlBtl46f1LM8358DVUkTmR/vprv/1/ns/DP0eUMbxfrCmuUXLPwI0cuIS/playlist_type/CLEAN/dover/11/txp/6209224/mt/1770985044/fvip/6/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/dvPF9s9F5wdeo-8dR/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,force_finished,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRAIgZvwXWqmM6umwm4AxxL_39TzoiK5KPxwnW_NTeglVcrMCIEhFeLt9WukL0jFs_jGKnQeAsj99N-Fs9UHn6EPLp_3J/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pl,rms,initcwndbps/lsig/APaTxxMwRgIhAMW15Y7JOfFv--y1SpwPSPCNlKp7sRcVbqnFQDw05nhhAiEAkPMKuIuaNOIx5tV7h5wVvvmtpExPXLx_07ZtyWdVlk0%3D/playlist/index.m3u8",90FcEovjDSw,Lionel COTE,"Salam Moh !

Je voulais te faire un P.R. (Pull Request) dans ton GH (Dépôt Github)... Mais impossible: Il est bugué :déçu: !

En effet: Fô jamais d'espaces (Ni d'accents) dans les noms de dossiers et fichiers !

Bref, on peut le forker, le cloner, mais rien d'autre :snif: !

Donc, il est à refaire complètement à partir d'un dépôt 'tout neuf'

Look ceci et récupère le code pour adapter :-) :

https://c57.slack.com/files/U4UD52Q2U/F094GDWMB61/pour_moh.zip","['Python', 'Flet', 'Algorea', 'Hot-reload']",['Science & Technology'],0.0
AVIS MatPlotLib VS Pygame... ?,2024-07-24,558,21,1.0,,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006860/ei/LBePaZjzM96Di9oP7-XVgAw/ip/93.23.16.131/id/06f3243529159d1f/itag/95/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D9035485%3Bdur%3D558.254%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1721816281677144/sgovp/clen%3D26239853%3Bdur%3D558.199%3Bgir%3Dyes%3Bitag%3D136%3Blmt%3D1721816281127847/rqh/1/hls_chunk_host/rr5---sn-n4g-ator.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/356/met/1770985260,/mh/j2/mm/31,29/mn/sn-n4g-ator,sn-n4g-jqbed/ms/au,rdu/mv/m/mvi/5/pl/27/rms/au,au/initcwndbps/933750/bui/AW-iu_q6XGxVuIl6lAreVx5Bbso-R1p9mTd7cNlOOOvEsrT854M-vghEVZdhfRrrTDSRHXNdUbw9PFtu/spc/q5xjPJSqgo4Y6nHAU2hM_-Nd5VkJkrp5PgGB4GNo3hEO0G9i1Wls5L0Yk63pUAHGCfo1nyfX/vprv/1/ns/LlfezgeU4RdWeyufUdFrN18S/playlist_type/CLEAN/dover/11/txp/6209224/mt/1770985044/fvip/2/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/tCfN2W1ZGpJaUD_EJ/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRgIhAOuyHVHc6NylTzYumkWub_f6VTWf9umxNDqryqOd4Fn_AiEA3Om7sK9WjlXGKj1ReH2K0I02nx5jSfS1UQaWamb4GJ8%3D/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pl,rms,initcwndbps/lsig/APaTxxMwRQIgXKR_XhXfF4j3C9oYAxauRpber96RzZqjG3UqttVBSM4CIQDj7yZtoEL59QZToZQX9GgoQ14M63XvJ9WwgLeQxEa1SQ%3D%3D/playlist/index.m3u8",BvMkNSkVnR8,Lionel COTE,Réponse à Algomius,['python pygame matplotlib'],['Science & Technology'],4.761904761904762
LARAVEL - reset.bat,2024-07-06,875,61,1.0,1.0,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006866/ei/MhePadW0L7e46dsP5L6a6AQ/ip/93.23.16.131/id/f2124d28cf0731a2/itag/95/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D14166913%3Bdur%3D875.322%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1720280038567417/sgovp/clen%3D37593263%3Bdur%3D875.274%3Bgir%3Dyes%3Bitag%3D136%3Blmt%3D1720280023593361/rqh/1/hls_chunk_host/rr2---sn-n4g-atoy.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/416/met/1770985266,/mh/1l/mm/31,29/mn/sn-n4g-atoy,sn-n4g-jqbek/ms/au,rdu/mv/m/mvi/2/pcm2cms/yes/pl/27/rms/au,au/initcwndbps/1066250/bui/AW-iu_p3M-BysUecBARiZxz82OFSTQ6OYWWRFH0CVDxnOUY6NLBrCRL5rGyGzjVf8hHJcaOFVQaAIK_G/spc/q5xjPPEAfEnb0CHAFTcuf-O69o5jad7zeuX2Aqo0hYz9oV6_0yTxws46d-6MuD-CkHJbPwO5/vprv/1/ns/3U-thCgK6P742sXpBlSoCF8S/playlist_type/CLEAN/dover/11/txp/6209224/mt/1770984808/fvip/6/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/t-NNFVOIWwQxovMSB/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRAIgFJXgvB7pQ17Iw-o1KWSqaYY7CImREc4YX1VADl95mOoCIFXxZGvKJD9yVOC6Vh2k98T5Ug4kGqrO6hm78mZgg1kv/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pcm2cms,pl,rms,initcwndbps/lsig/APaTxxMwRgIhAJpKnVXya9_WEVYpbfUONIEpQzwjL55WJ9_ILC9BlDTDAiEA85CpCdzoPXo85w_c1trMWah7GAZZx_snrAEejNEIecU%3D/playlist/index.m3u8",8hJNKM8HMaI,Lionel COTE,"Juste un script qui permet de passer facilement d'une branche à l'autre, en re-initialisant tout à chaque fois :-) !

Pardonnez... Le PC est un peu vieux (Une dizaine d'années [Bon, encore un qui dit qu'y a pas que le PC... Et je niake (=Supprime) cette vidéo !!! LoL!), et pas de fibre non plus ici, là où je suis... :-( Mais Maliche, ça le fait ! ;-)

Fork ad libitum ceci (Un README.md, le truc à lire en premier, vous guide... ;-) )  ! : 

https://github.com/GrCOTE7/sillo

@ Bi1tô ;-) !","['bash', 'html', 'css', 'js', 'php', 'laravel', 'livewire', 'alpinejs', 'vscode', 'git', 'Gitgraph']",['Nonprofits & Activism'],1.639344262295082
Version bêta de Présentation du Guide de Créateurs,2020-08-24,1456,39,1.0,,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006879/ei/PxePaepeuqPM-w-69-qpAw/ip/93.23.16.131/id/6a99bae9f32efd27/itag/95/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D23569042%3Bdur%3D1456.285%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1700327709052053/sgovp/clen%3D14326675%3Bdur%3D1456.233%3Bgir%3Dyes%3Bitag%3D136%3Blmt%3D1700328161831238/rqh/1/hls_chunk_host/rr2---sn-n4g-ator.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/384/met/1770985279,/mh/Cq/mm/31,29/mn/sn-n4g-ator,sn-n4g-jqbe6/ms/au,rdu/mv/m/mvi/2/pl/27/rms/au,au/initcwndbps/748750/bui/AW-iu_odixyvsTT8zUGXes-3LoY6zbeK5JE1oyHOZ9eMorLcMfkKfD-RF_sWlNXIntSDZx2qs56FIkRb/spc/q5xjPKiUHl9KgAvIEU1rDX1SMqUyfhjTbvtg1RB4cfkQ9OJL849uIuIAIBNGvjnq3ppEGX9Y/vprv/1/ns/hG5InZKoYbL28uo2unhnEbcS/playlist_type/CLEAN/dover/11/txp/6219224/mt/1770984808/fvip/7/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/N98YThuLevObhaLpz/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRQIgCCv8ChA2BxJzvVPm5_O5UUUcBJ4osNbePaIjbZoIoX8CIQDih3kS8Wm4V_ASD5dsHebRe7aDu0UhqQbm8tz9IyhX6A%3D%3D/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pl,rms,initcwndbps/lsig/APaTxxMwRgIhAKa1WBw-DNRGZiqQGYjCZDVUgM5s5O9FEIepgYCzY29yAiEA-ZgEV-nNVo3fiFBl-tpalcsoGOQzglx-m9tgxI-Jctw%3D/playlist/index.m3u8",apm66fMu_Sc,Lionel COTE,Test pour bêta spectateurs,[],['Nonprofits & Activism'],2.564102564102564
Webpack 2,2018-09-08,55,29,1.0,,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006891/ei/SxePafzsMY_LzPsP1YqTyAk/ip/93.23.16.131/id/1b10aac36858a8b3/itag/94/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D898851%3Bdur%3D55.495%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1698049968580133/sgovp/clen%3D1052844%3Bdur%3D55.433%3Bgir%3Dyes%3Bitag%3D135%3Blmt%3D1698049944092491/rqh/1/hls_chunk_host/rr4---sn-n4g-ator.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/355/met/1770985291,/mh/Po/mm/31,29/mn/sn-n4g-ator,sn-n4g-jqbek/ms/au,rdu/mv/m/mvi/4/pl/27/rms/au,au/initcwndbps/748750/bui/AW-iu_q5AAeDnuYTpnrtiWxVoF-hMszAqZWNuMiQ7e8WEhEqj_AtQPrMxm-w5BdKM_PX0x982JlDGjvz/spc/q5xjPJGP_wm5-pEtEk3HbeiQOIYg4Q5XevCR_ocwWGuXUXx_bpIvtrxEqSEeWba7PEujzS-_/vprv/1/ns/CXCznKQuN4xyZpo2g9BsB1US/playlist_type/CLEAN/dover/11/txp/1219224/mt/1770984808/fvip/2/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/9MQn1FeHwYTfki70z/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRAIgfhY3ZyczzSyqurB2E_l7rvlWGWwTzj6bBBwglQIZbzcCIE7KZlzY1mPJbHBDwbxWV2oZ7b-qSVsOIElegpKgUs8-/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pl,rms,initcwndbps/lsig/APaTxxMwRQIgXLS2bkVUpzSwkdTbZ3_BX0XOTa1AE-MH0AEkYmfEmrUCIQCTyIkOPh-kA5R0dOqD1WA0vunrtnGcMYY2IOCKuUvW9g%3D%3D/playlist/index.m3u8",GxCqw2hYqLM,Lionel COTE,Une démo rapide du résultat de la mise en place de Webpack et Laravel-elixir/mix pour le traitement des fichiers CSS,"['programmation', 'wev', 'html', 'php', 'css', 'webpack', 'laravel', 'laravel-mix', 'laravel-elixir', 'synchronisation', 'navigateur']",['Nonprofits & Activism'],3.4482758620689653
Démo Webpack - Laravel.mix,2018-09-07,98,104,1.0,,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006913/ei/YRePaZv3Npmdp-oPjobq4Qw/ip/93.23.16.131/id/7ae56cc3d7cdb0df/itag/96/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D1592523%3Bdur%3D98.359%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1676340317177310/sgovp/clen%3D5543347%3Bdur%3D98.299%3Bgir%3Dyes%3Bitag%3D137%3Blmt%3D1676348088712505/rqh/1/hls_chunk_host/rr1---sn-n4g-atoy.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/306/met/1770985313,/mh/aI/mm/31,29/mn/sn-n4g-atoy,sn-n4g-jqbe6/ms/au,rdu/mv/m/mvi/1/pl/27/rms/au,au/initcwndbps/1066250/bui/AW-iu_pNqU5ltmXtxFZq0ZXWJIe2Xt-UiBe7oNC2t8XfrOcpbukqE7V0hp9ogDbZSvImiqVyvmlc-RDi/spc/q5xjPKBANeZ5YxK-b-8B00kxEI1b0C1f1kbYqQ9adeCyJHdm5VpGpTIRERO4z7A8QIREhGJ6/vprv/1/ns/Cu5ZzjL5f5X0ol-ozVoxdyYS/playlist_type/CLEAN/dover/11/txp/1216224/mt/1770984808/fvip/5/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/9aZWL76yviYUX259i/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRQIgKgwmsJIMr1kBblEmbKH4i5iwbnkXdgbKEHWSzG1PsYcCIQCCFOe2l7UPt8o-Iaql91_APcRaVE9XUGAtSXGWSJh1Kg%3D%3D/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pl,rms,initcwndbps/lsig/APaTxxMwRAIgc2bJkT_HMmYcqmZdO7MlWwFerLhYefimHuwywgQeS10CIGBa67XJRnx8uYixkTI4TI2PaOBvBtUibnq3KjVT9GCq/playlist/index.m3u8",euVsw9fNsN8,Lionel COTE,"Une démo rapide du résultat de la mise en place de Webpack et Laravel-elixir/mix pour le traitement des fichiers CSS.

Voir aussi, encore + courte:

https://youtu.be/GxCqw2hYqLM","['html php css webpack laravel laravel-mix laravel-elixir', 'html', 'php', 'css', 'webpack', 'laravel', 'laravel-mix', 'laravel-elixir']",['Nonprofits & Activism'],0.9615384615384616
Wech le ClubAdel  !,2012-01-29,44,189,2.0,1.0,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006937/ei/eRePac6NK4SH6dsPptqeoA4/ip/93.23.16.131/id/f1518002861e2cfe/itag/94/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D713561%3Bdur%3D44.025%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1675127002942941/sgovp/clen%3D3645799%3Bdur%3D43.880%3Bgir%3Dyes%3Bitag%3D135%3Blmt%3D1675127023997795/rqh/1/hls_chunk_host/rr3---sn-n4g-atoy.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/203/met/1770985337,/mh/5C/mm/31,29/mn/sn-n4g-atoy,sn-n4g-jqbed/ms/au,rdu/mv/m/mvi/3/pl/27/rms/au,au/initcwndbps/1066250/bui/AW-iu_oCmdaQunc1dsnXnQTufyqr6oJ1oGf5HPZb5VPia1XiXnrS65CWPk6tBa7YLDw3D0MCTJBcHKbu/spc/q5xjPGzR23_-cvpgKpJ9U-rxq0BJJmrjI4RMtX0H_3WTWv-8iejqLiKiPxGUh3C9Mg4BZ5J0/vprv/1/ns/FtFPlgN7StN5-GkpxTFwaqES/playlist_type/CLEAN/dover/11/txp/1216224/mt/1770984808/fvip/3/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/NmZdF1DeeWMJrC39-/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRgIhALrL410xmkmLrKy7Gv5Qxm3Sn4tn3u0RoDB-MfrpxfFLAiEAzwBn2hutpiCtLXJgBqxwdfiUw56jCGLk8MdNw1oRjp4%3D/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pl,rms,initcwndbps/lsig/APaTxxMwRgIhAPywAelVnKQPf8qAHYdCSdq7q0eB4OcnKVSUTbBMiZwXAiEAt492__JlPT0sb0qquesHrh14q5d1QCuoQQ9wMXT4B3Y%3D/playlist/index.m3u8",8VGAAoYeLP4,Lionel COTE,"Une 'tite réalisation cool de notre ami Boosteur Oracus, n°1 Mondial des Membres du Club
( http://www.ClubAdel.com/gains.php ) dès ce premier mois de janvier 2012, mois d'inauguration de votre Club :-)

ClubAdel, le Concept Différent des autres, comme nous le sommes d'untel...","['rap', 'musique', 'fun', 'cool', 'sympa', 'ClubAdel', 'Top', 'Concept']",['Howto & Style'],1.0582010582010581
Entrez MAINTENANT dans le Club Adel !!!,2012-01-16,194,2368,8.0,,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006965/ei/lRePacjaJa-hp-oPyamUoAM/ip/93.23.16.131/id/4fe17a4b0ba3a796/itag/94/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D3143076%3Bdur%3D194.165%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1692262394700761/sgovp/clen%3D15902347%3Bdur%3D194.040%3Bgir%3Dyes%3Bitag%3D135%3Blmt%3D1692262404489659/rqh/1/hls_chunk_host/rr3---sn-n4g-ator.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/265/met/1770985365,/mh/gp/mm/31,29/mn/sn-n4g-ator,sn-n4g-jqbed/ms/au,rdu/mv/m/mvi/3/pcm2cms/yes/pl/27/rms/au,au/initcwndbps/933750/bui/AW-iu_pCcsyjem9VX67Db9G6JQNTavLGMqda85_1TKB2kSm-IqxKONfi5xxzkMZKdwJ2l006N2jQClec/spc/q5xjPDsz6dLQy4TpmAefMyfn7CBmR2gf2pDlLDef3TYFG_ObBSSuJR5QsivSnJIcULEheQdV/vprv/1/ns/OnQoa496Hk20wqGQJrgWbbkS/playlist_type/CLEAN/dover/11/txp/1216224/mt/1770985044/fvip/4/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/tOOlK4B9PJYFl9u5q/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRAIga_hted5VZVTWMYXw7IILuR7nHGBtGDNFiYbnOH5yFhACIEOIyPJPZ9b7UvUtB-uQzuYUkd4K8DZRuOYJJUHz-28K/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pcm2cms,pl,rms,initcwndbps/lsig/APaTxxMwRAIgZJbH7znjOsV3mbdoLkHceEg5deq_HJEqF5oXoLgfAmACIH_p0iqLrsVCF3M9xwrAasJuOxLZPVraHSTuZzRtq0Ob/playlist/index.m3u8",T-F6Swujp5Y,Lionel COTE,"Marre de la situation ? Envie de beaucoup mieux !
Profitez d'un Concept UNIQUE et INTERNATIONAL
(Paiement dans de nombreux pays, dans la monnaie locale !)
avec une aide au développement automatique EXCEPTIONNELLE !!!

Découvrez ceci grâce à l'excellente première vidéo de l'un de ses Leaders
et surtout, INSCRIVEZ -VOUS IMMEDIATEMENT pour en profiter PERSONNELLEMENT !
En plus, à  ce stade là, c'est absolument GRATUIT, Strictement SANS ENGAGEMENT,
Et cela ne prend que 2 MINUTES !

 www.TriPack.ClubAdel.com

Ne restez pas à la Traîne, cette cette Affaire est née ce début d'Année !!!","['Succès', 'Croissance', 'Anti-crise', 'Réalisation', 'Aide', 'Club', 'Privé', ""d'Affaires""]",['Howto & Style'],0.33783783783783783
Entrer dans le Campus du Club Adel,2011-12-16,439,900,6.0,1.0,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1771006979/ei/oxePac6-CdCI6dsP7I-NoQ4/ip/93.23.16.131/id/0b40834f98a9ee82/itag/95/source/youtube/requiressl/yes/ratebypass/yes/pfa/1/sgoap/clen%3D7099418%3Bdur%3D438.624%3Bgir%3Dyes%3Bitag%3D140%3Blmt%3D1714333701059216/sgovp/clen%3D5324181%3Bdur%3D438.571%3Bgir%3Dyes%3Bitag%3D136%3Blmt%3D1714334158615856/rqh/1/hls_chunk_host/rr1---sn-n4g-ator.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/cps/287/met/1770985379,/mh/fd/mm/31,29/mn/sn-n4g-ator,sn-n4g-jqber/ms/au,rdu/mv/m/mvi/1/pcm2cms/yes/pl/27/rms/au,au/initcwndbps/933750/bui/AW-iu_pUWoh8XOhWRaIvo8_KYp6Jd01_mUCzAZxhEVCYNmIyh-wOlgeZg8oHw_mwy5AAjFZfLWq0xU7D/spc/q5xjPJyvoomphVqce_lFuEAaJG33guOZQUIj-D4iZyJOZf7f86k-2y8RLJcGQYwYU3v2sNvV/vprv/1/ns/mS-QPITPlH61AFjVf1F-UM8S/playlist_type/CLEAN/dover/11/txp/1432434/mt/1770985044/fvip/3/keepalive/yes/fexp/51552689,51565116,51565682,51580968,51772949/n/dG6zCRiqYgoC2sD-m/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,pfa,sgoap,sgovp,rqh,xpc,bui,spc,vprv,ns,playlist_type/sig/AJEij0EwRgIhAPhI9EVMR7lCzZBatqsXqzmLeEpQT794JJ6zeqj-Ybt3AiEAw2C2CW3HcnzThBkj_5aXzQdxW8VkIRIowcIPS_qAMbU%3D/lsparams/hls_chunk_host,cps,met,mh,mm,mn,ms,mv,mvi,pcm2cms,pl,rms,initcwndbps/lsig/APaTxxMwRAIgFewYQLD1hX09BDZ7sudp9M-Kq5pkMZONSMj87aLuXTgCIEkFQJdrZMm-ewuUf_9xrStkxvNW1vdaZFkw3yyxe1hZ/playlist/index.m3u8",C0CDT5ip7oI,Lionel COTE,Technique du log dans le campus du Club Adel,"['école', 'formation', 'business', 'affaire', 'contact', 'relation', 'Club', 'Electronic Dance Music', 'Club (weapon)']",['Howto & Style'],0.6666666666666667
